_id,Isrc,Title,Artist,Popularity,Playlists,Followers,Year
9767446,USWB12307016,Beautiful Things,Benson Boone,0.9741,25840,9641042,23
9767280,USWB12302315,Lose Control,Teddy Swims,0.9918,23704,4313498,23
7389367,USSM12401865,Too Sweet,Hozier,0.8547,21009,10131419,24
7113061,USRC12400216,Saturn,SZA,0.857,14627,9929800,24
9729086,GBAHT2400114,Illusion,Dua Lipa,0.8798,11508,10225691,24
9745562,UKWLG2400013,I Don't Wanna Wait,David Guetta & OneRepublic,0.9809,10813,10151510,24
9877008,QZTB92360479,Austin (Boots Stop Workin'),Dasha,0.8225,10450,9225376,23
7076315,USSM12401302,TEXAS HOLD 'EM,Beyoncé,0.9695,9957,9847172,24
7421063,USRC12301954,Agora Hills,Doja Cat,0.7656,9596,8813865,23
7313724,USSM12402041,Like That,Future,0.7837,9238,10130509,24
9729082,GBAHT2301078,Training Season,Dua Lipa,0.9423,8979,9715671,23
9729245,GBAHT2301246,Houdini,Dua Lipa,0.944,8101,9076683,23
4092655,USRC12302637,Whatever,Kygo,1.0,8009,9664943,23
3652471,USRC12301932,greedy,Tate McRae,0.9835,7467,8771658,23
7069673,GBARL2301797,Lovers In A Past Life,Calvin Harris,0.9636,6066,9854051,23
7390585,USRN12300134,Bulletproof,Nate Smith,0.5791,5564,9823170,23
6851440,USSM12305126,Water,Tyla,0.9046,5122,8345426,23
9767282,USWB12302870,The Door,Teddy Swims,0.8082,4870,8790196,23
3880073,BEHP42300071,Head Down,Bastille,0.6361,4731,9513918,23
6947891,USRC12400001,Selfish,Justin Timberlake,0.89,4474,9708843,24
4071018,DEE862301861,Beat Of Your Heart,Purple Disco Machine & ASDIS,0.6036,4388,9715896,23
7247711,USRC12400002,No Angels,Justin Timberlake,0.8387,4223,10079962,24
7021279,USRC12400300,Whatever She Wants,Bryson Tiller,0.6834,4215,9863909,24
7464553,USRC12400376,For Life,Nile Rodgers,0.8603,4183,10324614,24
5078478,USRN12300006,World on Fire,Nate Smith,0.7022,4169,2912013,23
9707556,USAT22401034,After Hours,Kehlani,0.8113,4147,10164835,24
7677619,USSM12402717,II MOST WANTED,Beyoncé & Miley Cyrus,0.7303,3854,10177669,24
4326666,USQX92300259,I'm Not Pretty,Megan Moroney,0.6821,3615,3388507,23
7311683,USQX92400523,Puntería,Shakira,0.6612,3548,10128915,24
6978894,USSM12305010,FE!N,Travis Scott,0.8102,3310,8348364,23
7421050,USRC12400591,OKLOSER,Doja Cat,0.5617,3075,10228353,24
7470541,GBARL2400078,Forget About Us,Perrie,0.7771,2915,10274551,24
4096915,USSM12309164,redrum,21 Savage,0.7878,2888,9614402,23
7248183,USSM12401540,Been Like This,T-Pain,0.6745,2793,10076168,24
9703012,USAT22402805,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,0.6515,2749,10463080,24
4806351,USRC12302777,Sensational,Chris Brown,0.6273,2547,8985218,23
9715771,USAT22400413,Lighter,Galantis x David Guetta x 5 Seconds of Summer,0.8802,2534,9965137,24
7055059,DEE862400135,So Good,KAMRAD,0.5164,2460,9981831,24
7016699,USSM12400758,Make You Mine,Madison Beer,0.6733,2433,9822978,24
9679119,NLRD52350359,Addicted,Zerb,0.9013,2416,10178086,23
9794112,NLP762300246,It's Not Right But It's Okay,Mr. Belt & Wezol,0.6996,2403,9929986,23
9724725,USAT22307798,Gimme Love (Reasonable Woman Version),Sia,0.7746,2369,8763568,23
7532911,DEE862400579,Honey Boy,"Purple Disco Machine, Benjamin Ingrosso feat. Nile Rodgers and Shenseea",0.8283,2344,10423345,24
9704914,QMRSZ2302172,Landmines,Sum 41,0.6387,2279,8844179,23
4099422,USSM12308229,Memory Lane,Zara Larsson,0.5821,2058,9242197,23
9685313,USAT22401724,prada dem (feat. Offset),Gunna,0.6529,2050,10083549,24
7474727,USAR12300479,Wake Up,Skylar Blatt,0.6152,2049,10374022,23
9788451,USAT22403454,The Craving,twenty one pilots,0.4807,2048,10560365,24
5793971,USSM12306461,Used To Be Young,Miley Cyrus,0.8838,2028,8648076,23
6278976,USRW32300020,The Glass,Foo Fighters,0.6936,1836,1797132,23
